ANO;MES;PERFIL_CARGA;TIPO_MERCADORIA;MOVIMENTACAO;NAVEGACAO;TIPO_INSTALACAO;TOTAL_TONELADAS;TOTAL_TEU;TOTAL_UNIDADE
2020;2;CONTEINER;DIESEL/ GASOLINA;;EXPORTACAO/CABOTAGEM;PORTO ORGANIZADO;202.021;0;0
2020;2;CONTEINER;FARELO DE SOJA;;EXPORTACAO/LONGO CURSO;TUP;2.860.930;0;0
2020;2;CONTEINER;FARELO SOJA;;EXPORTACAO/LONGO CURSO;TUP;213.491;0;0
2020;2;CONTEINER;GASOLINA;;EXPORTACAO/CABOTAGEM;PORTO ORGANIZADO;1.081.456;0;0
2020;2;CONTEINER;GASOLINA;;IMPORTACAO/LONGO CURSO;PORTO ORGANIZADO;931.285;0;0
2020;2;CONTEINER;OCOMBUSTIVEL;;EXPORTACAO/CABOTAGEM;PORTO ORGANIZADO;613.429;0;0
2020;2;CONTEINER;POTASSA CAUSTICA FENOL ACETATO DE ETILA ISOPROPANOL;;IMPORT/EXPORT/LONGO CURSO;PORTO ORGANIZADO;674.867;0;0
2020;2;CONTEINER;POTASSA CAUSTICA FENOL ACETATO DE ETILA ISOPROPANOL;;IMPORT/EXPORT/LONGO CURSO;TUP;30.676;0;0
2020;2;CONTEINER;SOJA;;EXPORTACAO/LONGO CURSO;PORTO ORGANIZADO;2.197.268;0;0
2020;2;CONTEINER;SOJA;;EXPORTACAO/LONGO CURSO;TUP;7.482.494;0;0
2020;2;CONTEINER;SOJA A GRANEL;;EXPORTACAO/LONGO CURSO;TUP;16.234.992;0;0
2020;2;CONTEINER;SOJA AGRANEL;;EXPORTACAO/LONGO CURSO;TUP;490.086;0;0
2020;2;CONTEINER;SOJA GRAO;;EXPORTACAO/LONGO CURSO;TUP;4.884.317;0;0
2020;2;CONTEINER;SUCO A GRANEL;;EXPORTACAO/LONGO CURSO;PORTO ORGANIZADO;43.588;0;0
2020;2;CONTEINER;SUCO A GRANEL / AT CELULOSE;;EXPORTACAO/LONGO CURSO;PORTO ORGANIZADO;163.141;29808;80
2020;2;CONTEINER;SUCO A GRANEL/ CELULOSE;;EXPORTACAO/LONGO CURSO;PORTO ORGANIZADO;260.034;267960;638
2020;2;CONTEINER;SUCO CITRICO;;EXPORTACAO/LONGO CURSO;PORTO ORGANIZADO;302.248;0;0
2020;2;CONTEINER;VEICULOS;;EXPORTACAO/LONGO CURSO;TUP;13.652;1380;108
2020;2;CONTEINER;VOLUMES;;EXPORTACAO/LONGO CURSO;TUP;400;68;4
2020;2;CONTEINER;VOLUMES;;IMPORTACAO/LONGO CURSO;TUP;2.505;402;126
2020;2;GRANEIS DE ORIGEM VEGETAL;AUTOS;;IMPORT/EXPORT/LONGO CURSO;TUP;1.257;1053;2
2020;2;GRANEIS DE ORIGEM VEGETAL;CONTAINER;;EXPORTACAO/LONGO CURSO;TUP;0;0;0
